   ;KUNDE;PRIVAT;JAHR;LEASINGOBJEKT;OBJEKTTYP;KRAFTSTOFF
1;2119086182;0;2022;PKW Mercedes-Benz AMG GLE 63 S 4MATIC+ Coupè;Fahrzeuge / PKW, Kombi;Diesel
2;2119086182;0;2022;Linde Elektrostapler E18 BR386-02 BJ 2017, Linde Elektrostapler E20PH BR386-02 BJ 2017, Linde Hochhubwagen L16AP BR1173-00 BJ 2017, Linde Hochhubwagen L16AP BR1173-00 BJ 2017 und Zubehör;Technische Anlagen und Maschinen / Stapler (Diesel-Treibgas-Elektro);Strom
3;2119086182;0;2022;3 St. Linde Palettenregalanlagen (Halle 4, 5 und 7) mit Zubehör;Betriebs- und Geschäftsausstattung / Andere Anlagen Betriebs- und Geschäftsausstattung;
4;3661000932;0;2020;Audi e-tron (Elektro) 50 quattro business 158kw, Strom;Fahrzeuge / PKW, Kombi;B
5;1252525202;0;2022;Drillteq V-310 CNC Maschine;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
6;1252525202;0;2022;PV Anlage;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
7;1252525202;0;2022;Bearbeitungszentrum Centateq E-510 V2 + BMG 510 V1;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
8;1252525202;0;2021;Homag Kantenanleimmaschine LG1 KAM;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
9;1252525202;0;2021;PV Anlage;Betriebs- und Geschäftsausstattung / Andere Anlagen Betriebs- und Geschäftsausstattung;
10;543577844;1;2022;Suzuki Vitara 1,4 GL+ DITC Hybrid ALLGRIP flash 95kw, Benzin bleifrei, 5-Türer, SUV;Fahrzeuge / PKW, Kombi;Diesel - Hybrid
11;2568194778;0;2023;SZM Scania S 666 A4X2 NB;Fahrzeuge / Sattelzugmaschinen;Diesel
12;3331864101;0;2022;Jaguar I-Pace;Fahrzeuge / PKW, Kombi;
13;1681120423;0;2021;Jaguar F-Pace R-Dynamic SE PHEV;Fahrzeuge / PKW, Kombi;B
14;1681120423;0;2022;Citroen Berlingo (Elektro) e-Berlingo Strom, 5-Türer, Kombi - PKW;Fahrzeuge / PKW, Kombi;
15;1279363020;0;2020;Opel Vivaro C Edition 2,0 CDTI Kastenwagen;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);D
